id,country,league,season,date,time,home_team,away_team,home_goals,away_goals,result,psc_home,psc_draw,psc_away,max_ch,max_cd,home_avg_scored,home_avg_conceded,away_avg_scored,away_avg_conceded,diff_avg_scored,diff_avg_conceded,result_code,home_sequence,away_sequence
18,Mexico,Liga MX,2012/2013,2012-08-04,01:00,Santos Laguna,Puebla,2,2,D,1.41,5.01,8.6,1.5,5.01,2.0,1.0,0.0,2.0,2.0,-1.0,1,[2 0 1 1 0],[0 1 0 1 1]
19,Mexico,Liga MX,2012/2013,2012-08-04,01:30,Club Tijuana,UNAM Pumas,1,0,H,2.69,3.17,2.96,2.75,3.25,2.0,0.0,1.0,1.0,1.0,-1.0,0,[0 2 1 2 0],[0 1 0 1 0]
21,Mexico,Liga MX,2012/2013,2012-08-04,23:00,Cruz Azul,Guadalajara Chivas,0,0,D,2.04,3.53,3.98,2.04,3.53,0.0,0.0,1.0,2.0,-1.0,-2.0,1,[1 0 2 1 1],[1 0 2 0 1]
22,Mexico,Liga MX,2012/2013,2012-08-04,23:00,Queretaro,Pachuca,0,1,A,3.58,3.53,2.16,3.58,3.53,0.0,2.0,0.0,0.0,0.0,2.0,2,[2 2 1 2 1],[2 0 0 1 0]
23,Mexico,Liga MX,2012/2013,2012-08-05,01:00,Monterrey,Chiapas,2,1,H,1.54,4.24,7.01,1.6,4.24,0.0,0.0,2.0,4.0,-2.0,-4.0,0,[0 2 2 0 2],[2 0 1 0 0]
24,Mexico,Liga MX,2012/2013,2012-08-05,03:00,Atlas,Tigres UANL,0,0,D,3.12,3.24,2.52,3.25,3.24,1.0,1.0,4.0,0.0,-3.0,1.0,1,[2 1 0 2 0],[0 2 1 0 2]
25,Mexico,Liga MX,2012/2013,2012-08-05,18:00,Toluca,Club Leon,2,1,H,2.83,3.34,2.72,2.88,3.35,2.0,1.0,2.0,0.0,0.0,1.0,0,[2 2 0 2 0],[0 0 1 1 1]
28,Mexico,Liga MX,2012/2013,2012-08-11,02:30,Club Leon,Santos Laguna,3,0,H,2.02,3.71,3.8,2.2,3.71,4.0,0.0,1.0,0.0,3.0,0.0,0,[1 1 2 1 2],[2 0 1 2 2]
29,Mexico,Liga MX,2012/2013,2012-08-11,23:00,Club America,Atlas,1,1,D,1.77,3.82,5.17,1.8,3.82,4.0,2.0,3.0,0.0,1.0,2.0,1,[1 1 2 1 0],[1 2 0 2 0]
30,Mexico,Liga MX,2012/2013,2012-08-12,01:00,Pachuca,Club Tijuana,2,2,D,2.08,3.43,3.96,2.1,3.43,0.0,3.0,0.0,4.0,0.0,-1.0,1,[0 2 0 2 2],[1 1 2 1 1]
31,Mexico,Liga MX,2012/2013,2012-08-12,01:00,Tigres UANL,Queretaro,2,2,D,1.35,5.25,10.6,1.35,5.32,2.0,1.0,0.0,3.0,2.0,-2.0,1,[2 1 0 2 1],[1 2 0 2 0]
32,Mexico,Liga MX,2012/2013,2012-08-12,03:00,Atl. San Luis,Monterrey,1,1,D,3.66,3.57,2.12,3.66,3.7,1.0,2.0,0.0,1.0,1.0,1.0,1,[2 0 1 0 0],[2 0 0 0 0]
33,Mexico,Liga MX,2012/2013,2012-08-12,18:00,Puebla,Cruz Azul,0,1,A,3.07,3.39,2.5,3.07,3.41,1.0,3.0,2.0,1.0,-1.0,2.0,2,[1 1 0 1 2],[0 1 0 2 2]
34,Mexico,Liga MX,2012/2013,2012-08-12,18:00,UNAM Pumas,Toluca,1,2,A,2.06,3.48,3.96,2.1,3.5,3.0,0.0,3.0,1.0,0.0,-1.0,2,[1 0 1 1 0],[1 2 0 2 1]
35,Mexico,Liga MX,2012/2013,2012-08-13,00:00,Guadalajara Chivas,Monarcas,1,1,D,2.74,3.33,2.78,2.74,3.33,0.0,1.0,0.0,0.0,0.0,1.0,1,[0 2 1 0 2],[2 2 1 0 1]
36,Mexico,Liga MX,2012/2013,2012-08-18,01:30,Club Tijuana,Tigres UANL,2,1,H,2.95,3.21,2.67,2.95,3.3,1.5,0.0,2.0,0.0,-0.5,0.0,0,[0 2 0 0 2],[2 1 1 2 2]
37,Mexico,Liga MX,2012/2013,2012-08-18,03:30,Cruz Azul,Club Leon,1,1,D,2.59,3.44,2.88,2.59,3.44,0.0,0.0,1.5,1.0,-1.5,-1.0,1,[2 1 0 2 1],[1 0 2 2 1]
38,Mexico,Liga MX,2012/2013,2012-08-18,03:30,Monarcas,Puebla,3,0,H,1.73,4.07,4.95,1.75,4.07,2.0,1.5,1.0,2.0,1.0,-0.5,0,[0 2 0 1 0],[2 0 2 0 1]
39,Mexico,Liga MX,2012/2013,2012-08-18,23:00,Queretaro,Club America,0,4,A,3.95,3.85,1.95,4.15,3.85,0.0,1.5,1.0,1.0,-1.0,0.5,2,[0 0 1 2 1],[2 1 1 0 0]
41,Mexico,Liga MX,2012/2013,2012-08-19,01:00,Santos Laguna,UNAM Pumas,1,2,A,2.22,3.35,3.62,2.24,3.4,2.0,1.5,0.5,1.0,1.5,0.5,2,[0 0 2 0 1],[0 0 2 2 2]
42,Mexico,Liga MX,2012/2013,2012-08-19,03:00,Atl. San Luis,Guadalajara Chivas,0,1,A,2.87,3.3,2.67,2.91,3.3,1.0,1.5,0.5,1.0,0.5,0.5,2,[2 2 2 0 0],[0 1 0 1 2]
43,Mexico,Liga MX,2012/2013,2012-08-19,03:00,Atlas,Chiapas,1,1,D,2.19,3.43,3.61,2.29,3.43,0.5,0.5,1.5,3.0,-1.0,-2.5,1,[2 1 1 0 2],[2 0 1 2 0]
44,Mexico,Liga MX,2012/2013,2012-08-19,18:00,Toluca,Pachuca,1,0,H,2.33,3.43,3.27,2.36,3.43,2.0,1.0,0.5,0.0,1.5,1.0,0,[0 1 0 2 1],[0 2 0 0 2]
45,Mexico,Liga MX,2012/2013,2012-08-25,01:30,Chiapas,Queretaro,2,1,H,1.58,4.4,6.05,1.7,4.4,0.5,3.0,1.0,2.5,-0.5,0.5,0,[0 0 0 0 1],[0 0 0 1 0]
46,Mexico,Liga MX,2012/2013,2012-08-25,02:30,Club Leon,Monarcas,1,3,A,1.91,3.82,4.17,2.15,3.82,3.5,0.0,0.5,0.5,3.0,-0.5,2,[2 2 0 2 1],[1 2 1 1 2]
47,Mexico,Liga MX,2012/2013,2012-08-25,23:00,Club America,Club Tijuana,0,1,A,1.88,3.67,4.54,1.93,3.75,2.5,1.5,1.0,3.0,1.5,-1.5,2,[1 2 1 1 2],[2 0 2 1 2]
48,Mexico,Liga MX,2012/2013,2012-08-26,01:00,Pachuca,Santos Laguna,0,0,D,2.29,3.58,3.22,2.46,3.58,1.0,2.5,0.5,1.5,0.5,1.0,1,[1 0 2 1 0],[2 2 1 0 0]
49,Mexico,Liga MX,2012/2013,2012-08-26,01:00,Tigres UANL,Toluca,1,1,D,1.93,3.66,4.29,1.95,4.0,2.0,1.5,2.5,1.0,-0.5,0.5,1,[2 2 1 1 0],[2 2 2 2 2]
50,Mexico,Liga MX,2012/2013,2012-08-26,18:00,Puebla,Atl. San Luis,1,0,H,2.71,3.25,2.87,2.74,3.4,0.5,2.0,2.0,2.5,-1.5,-0.5,0,[0 0 1 0 0],[0 0 1 1 0]
51,Mexico,Liga MX,2012/2013,2012-08-26,18:00,UNAM Pumas,Cruz Azul,0,1,A,2.79,3.26,2.76,2.8,3.3,2.0,1.0,1.5,0.5,0.5,0.5,2,[1 2 0 0 2],[1 2 1 2 1]
52,Mexico,Liga MX,2012/2013,2012-08-26,23:00,Guadalajara Chivas,Monterrey,1,2,A,2.54,3.37,2.96,2.63,3.5,0.5,1.0,0.5,1.0,0.0,0.0,2,[0 0 1 1 2],[1 0 2 1 1]
53,Mexico,Liga MX,2012/2013,2012-08-27,00:00,Atlante,Atlas,1,0,H,2.06,3.61,3.81,2.25,3.61,1.0,1.0,2.0,0.5,-1.0,0.5,0,[1 0 1 2 1],[1 2 1 1 1]
54,Mexico,Liga MX,2012/2013,2012-09-01,01:30,Club Tijuana,Chiapas,2,0,H,1.99,3.39,4.38,2.02,3.7,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333335,-2.0,0,[0 2 1 2 2],[0 0 0 1 2]
55,Mexico,Liga MX,2012/2013,2012-09-01,03:30,Monarcas,UNAM Pumas,0,1,A,1.96,3.58,4.23,2.04,3.7,2.3333333333333335,1.0,1.0,1.0,1.3333333333333335,0.0,2,[2 1 1 2 2],[2 0 0 2 0]
